studyName,DatetimeGMT,JulianDay,Event,GridLine,GridStation,RoundedGridLine,RoundedGridStation,GridRegion,NorthSouthRegion,InshoreOffshoreRegion,Latitude,Longitude,BottleNumber,Depth,Temperature,Salinity,Density,BeamTransmission,Oxygen,OxygenSaturation,PAR,Fluorescence,Chlorophyll,Phaeopigment,FilterCode,Chlorophyllc3,Chlorophyllide,Chlorophyllc2,Peridinin,Phaeophorbide,x19butanoyloxyfucoxanthin,Fucoxanthin,Neoxanthin,Prasinoxanthin,x19hexanoyloxyfucoxanthin,Violaxanthin,Diadinoxanthin,Antheraxanthin,Alloxanthin,Diatoxanthin,Zeaxanthin,Lutein,Crocoxanthin,Chlorophyllb,Echinenone,DivinylChlorophylla,Chlorophylla,Lycopene,Phaeophytin,AlphaCarotene,BetaCarotene,Prasinophytes,Cryptophytes,MixedFlagellates,Diatoms,Haptophytes,PercentIrradiance,PrimaryProduction,PrimProdSTD,FIREGain,FIREFvOverFm,FIRESigma,FIRERho,BacterialAbundance,ThymidineIncorporation,LeucineIncorporation,HNA,LNA,DOC,POC,N,PO4,SiO4,NO2,NO3,NH4,NO3plusNO2,O2mlperl,O2umolperl,DIC1,DIC2,Alkalinity1,Alkalinity2,DICTemperature,DICSalinity,Notes1,Notes2
LMG18-01,1/5/2018 23:18,5,8,616,40,600,40,NC,N,C,-64.82116,-64.02944,24,0,1.3297,33.6447,26.9341,74.1504,8.4302,NaN,266.73,1.4237,5.255360714,1.388140106,5,0.140408615,0.397266814,0.596732016,0.071879822,NaN,0.11415741,0.694649532,0,0,0.253917065,0,0.534088948,0,2.426919228,0.113621809,0,0.066644527,NaN,0.095367308,NaN,-0.159191378,4.603886008,NaN,0,0.137822478,0.085825737,0.006956925,0.961080253,0,0,0.031962872,100,36.54187171,30.21599007,1000,0.371,193,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.36,50.53,NaN,NaN,NaN,18.24,NaN,NaN,2119.9679,NaN,2294.574091,2293.052916,1.33,33.645,P1.1,NaN
LMG18-01,1/5/2018 23:18,5,8,616,40,600,40,NC,N,C,-64.82116,-64.02944,22,10,0.7227,33.7232,27.0358,87.4364,8.1072,NaN,18.668,0.7949,6.202088671,-5.744183482,5,0.165093407,0.053689516,0.165657881,0,NaN,0.081931572,0.918007316,0,0,0.205638769,0.016053151,0.382477454,0.027092422,0.034540107,0.033880642,0,0.030304996,NaN,0.127608126,NaN,0.240529171,1.728234028,NaN,0,0.008902898,0.048584428,0.061311081,0.030607613,0.265669286,0.579660416,0.062751569,50,3.82771218,0.624367768,2000,0.441,219,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6,46.45,NaN,NaN,NaN,20.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,P1.1,NaN
LMG18-01,1/5/2018 23:18,5,8,616,40,600,40,NC,N,C,-64.82116,-64.02944,20,20,0.3462,33.8407,27.1521,94.7582,7.6278,NaN,5.7559,0.239,0.164493397,0.070425389,5,0.0901952,0.02602183,0.082929703,0,NaN,0.03117387,0.529996154,0,0,0.089370998,0,0.094165562,0,0.017925147,0,0,0,NaN,0.037663036,NaN,0.189361353,0.826988603,NaN,0,0.006448101,0.018009589,0.034942124,0.028692262,0.192811489,0.686531425,0.057022635,25,0.887538146,0.253973199,2400,0.452,208,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.66,50.62,NaN,NaN,NaN,23.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,P1.1,NaN
LMG18-01,1/5/2018 23:18,5,8,616,40,600,40,NC,N,C,-64.82116,-64.02944,18,35,0.1196,33.9679,27.2668,95.7858,7.2087,NaN,1.882,-0.0418,0.084911979,0.05191761,5,0.036439804,0,0.03307684,0,NaN,0.017640336,0.190651853,0,0,0.037309237,0,0.029506458,0,0.016313563,0,0,0,NaN,0.023001037,NaN,0.05359157,0.370188375,NaN,0,0,0.008337003,0.052001186,0.080519073,0.274660438,0.544228435,0.048590846,1,1.232143619,0.048561497,2400,0.509,243,0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.79,47.8,NaN,NaN,NaN,24.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,P1.1,NaN
LMG18-01,1/5/2018 23:18,5,8,616,40,600,40,NC,N,C,-64.82116,-64.02944,16,50,0.3252,34.1088,27.3694,94.6903,6.8443,NaN,0.70617,-0.1312,0.047291463,0.039393789,5,0.013007839,0,0.012885711,0,NaN,0.008167517,0.073547351,0,0,0.01878289,0,0.010926557,0,0.013116352,0,0,0,NaN,0,NaN,0.062493274,0.116660302,NaN,0,0,0,0,0.193472952,0.352672338,0.379272193,0.074582517,0.1,0.772343059,0.115739433,2400,0.494,246,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9,47.37,NaN,NaN,NaN,25.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,P1.1,NaN
LMG18-01,1/5/2018 23:18,5,8,616,40,600,40,NC,N,C,-64.82116,-64.02944,14,75,0.456,34.243,27.4702,93.9083,6.2479,NaN,0.14859,-0.1435,0.029045946,0.0214517,5,0.007315049,0,0.012969326,0,NaN,0.007617779,0.062727047,0,0,0.01659201,0,0.0116181,0,0.020622811,0,0,0,NaN,0,NaN,0.038346554,0.130930944,NaN,0,0,0,0,0.314671487,0.314609587,0.308759272,0.061959725,NaN,NaN,NaN,2400,0.47,251,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,55.41,NaN,NaN,NaN,28.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,P1.1,NaN
LMG18-01,1/5/2018 23:18,5,8,616,40,600,40,NC,N,C,-64.82116,-64.02944,11,100,0.4623,34.303,27.5182,92.4738,5.9509,NaN,1.00E-12,-0.1734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.05,49.83,NaN,NaN,NaN,28.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LMG18-01,1/5/2018 23:18,5,8,616,40,600,40,NC,N,C,-64.82116,-64.02944,9,120,0.3869,34.3303,27.5445,92.6168,5.8427,NaN,1.00E-12,-0.2028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.09,48.8,NaN,NaN,NaN,29.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LMG18-01,1/5/2018 23:18,5,8,616,40,600,40,NC,N,C,-64.82116,-64.02944,7,200,0.5852,34.4801,27.6536,93.4565,4.9929,NaN,1.00E-12,-0.1983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.14,43.18,NaN,NaN,NaN,30.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LMG18-01,1/5/2018 23:18,5,8,616,40,600,40,NC,N,C,-64.82116,-64.02944,5,270,0.9542,34.5825,27.7128,93.9525,4.5111,NaN,1.00E-12,-0.2028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.24,59.56,NaN,NaN,NaN,31.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
