GridLine,GridStation,StandardLat,StandardLon
600,280,-63.46725729,-68.02041689
600,260,-63.59271576,-67.73313493
600,240,-63.71760682,-67.4433133
600,220,-63.84192145,-67.15092719
600,200,-63.96565053,-66.85595188
600,180,-64.08878477,-66.55836268
600,160,-64.21131473,-66.25813496
600,140,-64.33323083,-65.95524418
600,120,-64.45452333,-65.64966593
600,100,-64.5751823,-65.34137588
600,80,-64.6951977,-65.03034988
600,60,-64.81455929,-64.71656392
600,40,-64.93325666,-64.39999416
600,20,-65.05127923,-64.08061701
600,0,-65.16861626,-63.75840905
600,-20,-65.28525681,-63.43334715
600,-40,-65.40118976,-63.10540843
600,-60,-65.5164038,-62.77457032
600,-80,-65.63088744,-62.44081059
600,-100,-65.74462898,-62.10410732
500,280,-64.09927126,-69.45744097
500,260,-64.2276249,-69.17044322
500,240,-64.35542336,-68.88077592
500,220,-64.48265758,-68.58841042
500,200,-64.60931835,-68.29331803
500,180,-64.73539628,-67.99547004
500,160,-64.86088184,-67.69483773
500,140,-64.98576536,-67.39139239
500,120,-65.11003696,-67.08510536
500,100,-65.23368663,-66.77594799
500,80,-65.35670417,-66.46389173
500,60,-65.47907921,-66.14890812
500,40,-65.6008012,-65.83096879
500,20,-65.72185941,-65.51004552
500,0,-65.84224292,-65.18611024
500,-20,-65.96194062,-64.85913506
500,-40,-66.08094121,-64.52909231
500,-60,-66.19923319,-64.19595455
500,-80,-66.31680484,-63.85969459
500,-100,-66.43364427,-63.52028555
400,280,-64.71540973,-70.96048913
400,260,-64.846759,-70.67449021
400,240,-64.97756687,-70.38569341
400,220,-65.10782424,-70.09406582
400,200,-65.23752183,-69.79957438
400,180,-65.36665022,-69.50218596
400,160,-65.49519979,-69.20186728
400,140,-65.62316079,-68.89858501
400,120,-65.75052327,-68.59230575
400,100,-65.87727712,-68.28299604
400,80,-66.00341204,-67.9706224
400,60,-66.12891754,-67.65515135
400,40,-66.25378296,-67.3365494
400,20,-66.37799743,-67.01478314
400,0,-66.50154989,-66.68981918
400,-20,-66.62442908,-66.36162425
400,-40,-66.74662353,-66.03016519
400,-60,-66.86812157,-65.69540896
400,-80,-66.98891131,-65.35732273
400,-100,-67.10898064,-65.01587384
300,280,-65.3142271,-72.53267413
300,260,-65.44867376,-72.24849074
300,240,-65.58259441,-71.96138518
300,220,-65.71597993,-71.6713199
300,200,-65.84882104,-71.37825712
300,180,-65.98110828,-71.08215881
300,160,-66.11283201,-70.78298675
300,140,-66.24398243,-70.4807025
300,120,-66.37454953,-70.17526741
300,100,-66.50452316,-69.86664271
300,80,-66.63389293,-69.55478944
300,60,-66.76264829,-69.23966853
300,40,-66.89077847,-68.92124079
300,20,-67.01827252,-68.59946695
300,0,-67.14511927,-68.27430769
300,-20,-67.27130733,-67.94572362
300,-40,-67.3968251,-67.61367539
300,-60,-67.52166077,-67.27812362
300,-80,-67.64580228,-66.93902902
300,-100,-67.76923736,-66.59635235
200,280,-65.89411802,-74.17701791
200,260,-66.03176493,-73.89557556
200,240,-66.16890289,-73.61109396
200,220,-66.30552282,-73.32353059
200,200,-66.44161544,-73.03284255
200,180,-66.57717133,-72.73898657
200,160,-66.71218084,-72.44191901
200,140,-66.84663418,-72.14159589
200,120,-66.98052133,-71.83797287
200,100,-67.11383212,-71.53100533
200,80,-67.24655613,-71.22064829
200,60,-67.37868278,-70.90685654
200,40,-67.51020125,-70.58958457
200,20,-67.64110054,-70.26878664
200,0,-67.77136939,-69.94441677
200,-20,-67.90099636,-69.61642881
200,-40,-68.02996974,-69.28477642
200,-60,-68.15827762,-68.94941311
200,-80,-68.28590783,-68.6102923
200,-100,-68.41284796,-68.2673673
100,280,-66.45328959,-75.89639555
100,260,-66.59424068,-75.61873303
100,240,-66.73470159,-75.3379253
100,220,-66.8746633,-75.05392458
100,200,-67.01411662,-74.76668254
100,180,-67.15305216,-74.4761503
100,160,-67.29146037,-74.18227847
100,140,-67.42933148,-73.88501709
100,120,-67.56665554,-73.58431572
100,100,-67.70342238,-73.2801234
100,80,-67.83962163,-72.97238866
100,60,-67.97524271,-72.66105959
100,40,-68.11027483,-72.34608378
100,20,-68.24470696,-72.0274084
100,0,-68.37852784,-71.7049802
100,-20,-68.51172599,-71.37874551
100,-40,-68.64428968,-71.04865028
100,-60,-68.77620694,-70.71464013
100,-80,-68.90746553,-70.37666033
100,-100,-69.03805297,-70.03465586
0,280,-66.98972559,-77.69348142
0,260,-67.13408606,-77.42075157
0,240,-67.27797677,-77.14478635
0,220,-67.42138887,-76.86553255
0,200,-67.56431328,-76.58293618
0,180,-67.70674074,-76.29694252
0,160,-67.8486618,-76.00749611
0,140,-67.99006682,-75.71454073
0,120,-68.13094594,-75.41801946
0,100,-68.27128909,-75.11787463
0,80,-68.411086,-74.81404786
0,60,-68.55032615,-74.50648005
0,40,-68.68899883,-74.19511141
0,20,-68.82709306,-73.87988147
0,0,-68.96459765,-73.56072907
0,-20,-69.10150114,-73.23759241
0,-40,-69.23779183,-72.91040904
0,-60,-69.37345777,-72.5791159
0,-80,-69.50848673,-72.24364934
0,-100,-69.6428662,-71.90394513
-100,280,-67.50113921,-79.57071129
-100,260,-67.649016,-79.30417585
-100,240,-67.7964451,-79.0343363
-100,220,-67.94341784,-78.7611339
-100,200,-68.08992533,-78.48450893
-100,180,-68.23595851,-78.20440072
-100,160,-68.38150812,-77.92074759
-100,140,-68.52656468,-77.6334869
-100,120,-68.6711185,-77.34255502
-100,100,-68.8151597,-77.04788733
-100,80,-68.95867815,-76.74941822
-100,60,-69.10166349,-76.44708112
-100,40,-69.24410515,-76.14080844
-100,20,-69.3859923,-75.83053164
-100,0,-69.52731386,-75.51618121
-100,-20,-69.6680585,-75.19768666
-100,-40,-69.80821463,-74.87497655
-100,-60,-69.94777039,-74.54797853
-100,-80,-70.08671363,-74.21661927
-100,-100,-70.22503194,-73.88082459
-200,280,-67.98490865,-81.53028571
-200,260,-68.13641158,-81.27130171
-200,240,-68.2874904,-81.00897263
-200,220,-68.43813666,-80.74323436
-200,200,-68.58834176,-80.4740216
-200,180,-68.73809688,-80.20126777
-200,160,-68.88739303,-79.92490508
